Sample in Buffer,Sample in Window,TRIGGER,inst_dsp_top/fraser_user_code/U0/mux_en[0:0],inst_dsp_top/fraser_user_code/U0/s_axis_tdata[0:0],inst_dsp_top/fraser_user_code/m_axis_tdata[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
779,779,0,1,1,56942
780,780,0,1,1,56942
781,781,0,1,1,56942
782,782,0,1,1,56942
783,783,0,1,1,56942
784,784,0,1,1,56942
785,785,0,1,1,56942
786,786,0,1,1,56942
787,787,0,1,1,56942
788,788,0,1,1,54293
789,789,0,1,1,64153
790,790,0,1,1,11415
791,791,0,1,1,2538
792,792,0,1,1,54298
793,793,0,1,1,62173
794,794,0,1,1,62173
795,795,0,1,1,62173
796,796,0,1,1,62173
797,797,0,1,1,62173
798,798,0,1,1,62173
799,799,0,1,1,62173
800,800,0,1,1,62173
801,801,0,1,1,10727
802,802,0,1,1,3806
803,803,0,1,1,55098
804,804,0,1,1,60958
805,805,0,1,1,10091
806,806,0,1,1,5326
807,807,0,1,1,5326
808,808,0,1,1,5326
809,809,0,1,1,5326
810,810,0,1,1,5326
811,811,0,1,1,5326
812,812,0,1,1,5326
813,813,0,1,1,5326
814,814,0,1,1,55846
815,815,0,1,1,59492
816,816,0,1,1,9237
817,817,0,1,1,6951
818,818,0,1,1,56803
819,819,0,1,1,57949
820,820,0,1,1,57949
821,821,0,1,1,57949
822,822,0,1,1,57949
823,823,0,1,1,57949
824,824,0,1,1,57949
825,825,0,1,1,57949
826,826,0,1,1,57949
827,827,0,1,1,57949
828,828,0,1,1,8182
829,829,0,1,1,64726
830,830,0,1,1,10920
831,831,0,1,1,1614
832,832,0,1,1,54745
833,833,0,1,1,63125
834,834,0,1,1,10673
835,835,0,1,1,10673
836,836,0,1,1,10673
837,837,0,1,1,10673
838,838,0,1,1,10673
839,839,0,1,1,10673
840,840,0,1,1,10673
841,841,0,1,1,10673
842,842,0,1,1,10673
843,843,0,1,1,3194
844,844,0,1,1,55088
845,845,0,1,1,61576
846,846,0,1,1,10166
847,847,0,1,1,4704
848,848,0,1,1,55832
849,849,0,1,1,55832
850,850,0,1,1,55832
851,851,0,1,1,55832
852,852,0,1,1,55832
853,853,0,1,1,55832
854,854,0,1,1,55832
855,855,0,1,1,55832
856,856,0,1,1,55832
857,857,0,1,1,60113
858,858,0,1,1,9296
859,859,0,1,1,5945
860,860,0,1,1,56540
861,861,0,1,1,58767
862,862,0,1,1,8272
863,863,0,1,1,7187
864,864,0,1,1,7187
865,865,0,1,1,7187
866,866,0,1,1,7187
867,867,0,1,1,7187
868,868,0,1,1,7187
869,869,0,1,1,7187
870,870,0,1,1,7187
871,871,0,1,1,7187
872,872,0,1,1,787
873,873,0,1,1,54915
874,874,0,1,1,63706
875,875,0,1,1,10194
876,876,0,1,1,2277
877,877,0,1,1,55519
878,878,0,1,1,55519
879,879,0,1,1,55519
880,880,0,1,1,55519
881,881,0,1,1,55519
882,882,0,1,1,55519
883,883,0,1,1,55519
884,884,0,1,1,55519
885,885,0,1,1,55519
886,886,0,1,1,62519
887,887,0,1,1,9787
888,888,0,1,1,3741
889,889,0,1,1,56034
890,890,0,1,1,60724
891,891,0,1,1,9167
892,892,0,1,1,5123
893,893,0,1,1,5123
894,894,0,1,1,5123
895,895,0,1,1,5123
896,896,0,1,1,5123
897,897,0,1,1,5123
898,898,0,1,1,5123
899,899,0,1,1,5123
900,900,0,1,1,5123
901,901,0,1,1,56755
902,902,0,1,1,59374
903,903,0,1,1,8349
904,904,0,1,1,6395
905,905,0,1,1,57666
906,906,0,1,1,58369
907,907,0,1,1,58369
908,908,0,1,1,58369
909,909,0,1,1,58369
910,910,0,1,1,58369
911,911,0,1,1,58369
912,912,0,1,1,58369
913,913,0,1,1,58369
914,914,0,1,1,55170
915,915,0,1,1,64548
916,916,0,1,1,10281
917,917,0,1,1,1723
918,918,0,1,1,55701
919,919,0,1,1,63087
920,920,0,1,1,63087
921,921,0,1,1,63087
922,922,0,1,1,63087
923,923,0,1,1,63087
924,924,0,1,1,63087
925,925,0,1,1,63087
926,926,0,1,1,63087
927,927,0,1,1,63087
928,928,0,1,1,9946
929,929,0,1,1,3162
930,930,0,1,1,56045
931,931,0,1,1,61678
932,932,0,1,1,9215
933,933,0,1,1,4532
934,934,0,1,1,56766
935,935,0,1,1,56766
936,936,0,1,1,56766
937,937,0,1,1,56766
938,938,0,1,1,56766
939,939,0,1,1,56766
940,940,0,1,1,56766
941,941,0,1,1,56766
942,942,0,1,1,56766
943,943,0,1,1,60354
944,944,0,1,1,8516
945,945,0,1,1,5804
946,946,0,1,1,57589
947,947,0,1,1,59141
948,948,0,1,1,7633
949,949,0,1,1,7633
950,950,0,1,1,7633
951,951,0,1,1,7633
952,952,0,1,1,7633
953,953,0,1,1,7633
954,954,0,1,1,7633
955,955,0,1,1,7633
956,956,0,1,1,7633
957,957,0,1,1,6951
958,958,0,1,1,957
959,959,0,1,1,55882
960,960,0,1,1,63867
961,961,0,1,1,9523
962,962,0,1,1,2603
963,963,0,1,1,56196
964,964,0,1,1,56196
965,965,0,1,1,56196
966,966,0,1,1,56196
967,967,0,1,1,56196
968,968,0,1,1,56196
969,969,0,1,1,56196
970,970,0,1,1,56196
971,971,0,1,1,56196
972,972,0,1,1,62474
973,973,0,1,1,9106
974,974,0,1,1,3735
975,975,0,1,1,56713
976,976,0,1,1,60935
977,977,0,1,1,8492
978,978,0,1,1,8492
979,979,0,1,1,8492
980,980,0,1,1,8492
981,981,0,1,1,8492
982,982,0,1,1,8492
983,983,0,1,1,8492
984,984,0,1,1,8492
985,985,0,1,1,8492
986,986,0,1,1,4850
987,987,0,1,1,57692
988,988,0,1,1,60104
989,989,0,1,1,7437
990,990,0,1,1,6375
991,991,0,1,1,58546
992,992,0,1,1,58806
993,993,0,1,1,58806
994,994,0,1,1,58806
995,995,0,1,1,58806
996,996,0,1,1,58806
997,997,0,1,1,58806
998,998,0,1,1,58806
999,999,0,1,1,58806
1000,1000,0,1,1,58806
1001,1001,0,1,1,56147
1002,1002,0,1,1,64381
1003,1003,0,1,1,9295
1004,1004,0,1,1,1776
1005,1005,0,1,1,56331
1006,1006,0,1,1,63020
1007,1007,0,1,1,63020
1008,1008,0,1,1,63020
1009,1009,0,1,1,63020
1010,1010,0,1,1,63020
1011,1011,0,1,1,63020
1012,1012,0,1,1,63020
1013,1013,0,1,1,63020
